"impianto","comune_ubicazione","provincia_ubicazione","rifiuto_trattato"
"ADECO S.R.L.","GALATONE","LECCE","20 01 35 -  apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alla voce 20 01 21 e 20 01 23, contenenti componenti pericolosi"
"ADECO S.R.L.","GALATONE","LECCE","20 01 35 -  apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alla voce 20 01 21 e 20 01 23, contenenti componenti pericolosi "
"ADECO S.R.L.","GALATONE","LECCE","20 01 36 - apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35"
"ADECO S.R.L.","GALATONE","LECCE","20 01 36 - apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35 "
"ADECO S.R.L.","GALATONE","LECCE","20 01 40 - metallo "
"ADECO S.R.L.","GALATONE","LECCE","20 03 01 - rifiuti urbani non differenziati "
"ADECO S.R.L.","GALATONE","LECCE","20 03 07 - rifiuti ingombranti a recupero "
"ADECO S.R.L. CONSULENZA SMALTIMENTO RIFIUTI","NARDO","LECCE","16 02 16 - componenti rimossi da apparecchiature fuori uso, diversi da quelli di cui alla voce 16 02 15"
"ADECO S.R.L. CONSULENZA SMALTIMENTO RIFIUTI","NARDO","LECCE","20 01 21 - tubi fluorescenti ed altri rifiuti contenenti mercurio"
"ADECO S.R.L. CONSULENZA SMALTIMENTO RIFIUTI","NARDO","LECCE","20 01 23 -  apparecchiature fuori uso contenenti clorofluorocarburi "
"ADECO S.R.L. CONSULENZA SMALTIMENTO RIFIUTI","NARDO","LECCE","20 01 35 -  apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alla voce 20 01 21 e 20 01 23, contenenti componenti pericolosi"
"ADECO S.R.L. CONSULENZA SMALTIMENTO RIFIUTI","NARDO","LECCE","20 01 36 - apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35 "
"ADECO S.R.L. - PROGEST SOCIETA' COOPERATIVA","GALATONE","LECCE","20 01 23 -  apparecchiature fuori uso contenenti clorofluorocarburi "
"ADECO S.R.L. - PROGEST SOCIETA' COOPERATIVA","GALATONE","LECCE","20 01 35 -  apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alla voce 20 01 21 e 20 01 23, contenenti componenti pericolosi"
"ADRIATICA LEGNAMI S.R.L.","GIOIA DEL COLLE","BARI","02 01 03 - scarti di tessuti vegetali"
"ADRIATICA LEGNAMI S.R.L. - MARSEGLIA CALCE","GIOIA DEL COLLE","BARI","02 01 03 - scarti di tessuti vegetali"
"ADRIATICA MACERI S.N.C.","BRINDISI","BRINDISI","20 01 36 - apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35 "
"ADRIATICA SCAVI S.N.C. DEI F.LLI MAURO E OSVALDO DI PINTO","BISCEGLIE","BARLETTA ANDRIA TRANI","02 06 01 - scarti inutilizzabili per il consumo o la trasformazione "
"ADRIATICA SCAVI S.N.C. DEI F.LLI MAURO E OSVALDO DI PINTO","BISCEGLIE","BARLETTA ANDRIA TRANI","17 01 03 - mattonelle e ceramiche "
"ADRIATICA SCAVI S.N.C. DEI F.LLI MAURO E OSVALDO DI PINTO","BISCEGLIE","BARLETTA ANDRIA TRANI","17 01 07 - miscugli o scorie di cemento, mattoni, mattonelle e ceramiche, diverse da quelle di cui alla voce 17 01 06"
"ADRIATICA SCAVI S.N.C. DEI F.LLI MAURO E OSVALDO DI PINTO","BISCEGLIE","BARLETTA ANDRIA TRANI","19 99 99 - Rifiuti prodotti da impianti di trattamento dei rifiuti, impianti di trattamento delle acque reflue"
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","00 00 00 - Altro - Non specificato "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","00 00 10 - vetro/metallo
"
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","15 01 01 - imballaggi in carta e cartone "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","15 01 02 - imballaggi in plastica "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","15 01 03 - imballaggi in legno "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","15 01 04 - imballaggi metallici "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","15 01 06 - imballaggi in materiali misti "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","15 01 07 - imballaggi in vetro "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","16 01 03 - pneumatici fuori uso"
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","19 05 01 - parte di rifiuti urbani e simili non compostata "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","19 12 12 - altri rifiuti (compresi materiali misti) prodotti dal trattamento meccanico dei rifiuti, diversi da quelli di cui alla voce 19 12 11"
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 01 01 - carta e cartone "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 01 08 - rifiuti biodegradabili di cucine e mense"
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 01 08 - rifiuti biodegradabili di cucine e mense "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 01 10 - abbigliamento "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 01 11 - prodotti tessili "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 01 26 -  oli e grassi diversi da quelli di cui alla voce 20 01 25"
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 01 31 -  medicinali citotossici e citostatici"
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 01 33 -  batterie e accumulatori di cui alle voci 16 06 01, 16 06 02 e 16 06 03 nonché batterie e accumulatori non suddivisi contenenti tali batterie"
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 01 38 - legno, diverso da quello di cui alla voce 20 01 37 "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 02 01 - rifiuti biodegradabili"
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 02 01 - rifiuti biodegradabili "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 02 03 - altri rifiuti non biodegradabili "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 03 01 - rifiuti urbani non differenziati"
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 03 01 - rifiuti urbani non differenziati "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 03 01 - rifiuti urbani non differenziati  "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 03 02 - rifiuti dei mercati"
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 03 02 - rifiuti dei mercati "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 03 03 - residui della pulizia stradale"
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 03 03 - residui della pulizia stradale   "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 03 07 - rifiuti ingombranti a recupero "
"A.GE.CO.S. S.P.A.","DELICETO","FOGGIA","20 03 07 - rifiuti ingombranti a smaltimento "
"A.GE.CO.S. S.P.A. - CONSORZIO ATO BACINO FG/5 - S.I.A. CONSORZIO BACINO FG/4","DELICETO","FOGGIA","20 01 08 - rifiuti biodegradabili di cucine e mense"
"A.GE.CO.S. S.P.A. - TROIA","TROIA","FOGGIA","15 01 01 - imballaggi in carta e cartone "
"A.GE.CO.S. S.P.A. - TROIA","TROIA","FOGGIA","20 01 08 - rifiuti biodegradabili di cucine e mense"
"ALBATEX S.R.L.","CUTROFIANO","LECCE","20 01 10 - abbigliamento "
"ALBATEX S.R.L.","CUTROFIANO","LECCE","20 01 11 - prodotti tessili "
"ALBATEX S.R.L.","CUTROFIANO","LECCE","20 01 40 - metallo "
"ALFA EDILE S.R.L.","BRINDISI","BRINDISI","00 00 10 - vetro/metallo
"
"ALFA EDILE S.R.L.","BRINDISI","BRINDISI","15 01 02 - imballaggi in plastica"
"ALFA EDILE S.R.L.","BRINDISI","BRINDISI","15 01 02 - imballaggi in plastica "
"ALFA EDILE S.R.L.","BRINDISI","BRINDISI","20 01 32 - medicinali diversi da quelli di cui alla voce 20 01 31"
"ALFA EDILE S.R.L.","BRINDISI","BRINDISI","20 03 01 - rifiuti urbani non differenziati "
"ALFA EDILE S.R.L.","BRINDISI","BRINDISI","20 03 01 - rifiuti urbani non differenziati  "
"ALFA EDILE S.R.L.","BRINDISI","BRINDISI","20 03 03 - residui della pulizia stradale"
"ALFA EDILE S.R.L.","BRINDISI","BRINDISI","20 03 03 - residui della pulizia stradale   "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","02 06 01 - scarti inutilizzabili per il consumo o la trasformazione "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","08 01 11 -  pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","08 01 11 -  pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","08 03 18 - toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","08 03 18 - toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17 "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","15 01 01 - imballaggi in carta e cartone "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","15 01 02 - imballaggi in plastica "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","15 01 03 - imballaggi in legno "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","15 01 04 - imballaggi metallici "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","15 01 06 - imballaggi in materiali misti"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","15 01 06 - imballaggi in materiali misti "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","15 01 07 - imballaggi in vetro "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","15 01 10 -  imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","15 01 10 -  imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","15 01 11 -  imballaggi metallici contenenti matrici solide porose pericolose (ad esempio amianto), compresi i contenitori a pressione vuoti "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","15 02 03 - assorbenti, materiali filtranti, stracci e indumenti protettivi, diversi da quelli di cui alla voce 15 02 02 "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","16 01 03 - pneumatici fuori uso"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","16 01 03 - pneumatici fuori uso "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","16 03 04 - rifiuti inorganici, diversi da quelli di cui alla voce 16 03 03 "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","16 03 05 -  rifiuti organici, contenenti sostanze pericolose "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","16 03 06 - rifiuti organici, diversi da quelli di cui alla voce 16 03 05"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","16 06 01 -  batterie al piombo"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","17 01 07 - miscugli o scorie di cemento, mattoni, mattonelle e ceramiche, diverse da quelle di cui alla voce 17 01 06"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","17 04 05 - ferro e acciaio"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","17 06 03 -  altri materiali isolanti contenenti o costituiti da sostanze pericolose"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","17 06 05 -  materiali da costruzione contenenti amianto"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","17 06 05 -  materiali da costruzione contenenti amianto "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","17 09 04 - rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","18 01 04 - rifiuti che non devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni (es. bende, ingessature, lenzuola, indumenti monouso, assorbenti igienici) "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","19 02 03 - miscugli di rifiuti composti esclusivamente da rifiuti non pericolosi "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","19 12 12 - altri rifiuti (compresi materiali misti) prodotti dal trattamento meccanico dei rifiuti, diversi da quelli di cui alla voce 19 12 11 "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","19 99 99 - Rifiuti prodotti da impianti di trattamento dei rifiuti, impianti di trattamento delle acque reflue"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 01 - carta e cartone "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 02 - vetro "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 08 - rifiuti biodegradabili di cucine e mense"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 10 - abbigliamento "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 11 - prodotti tessili "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 23 -  apparecchiature fuori uso contenenti clorofluorocarburi "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 28 - vernici, inchiostri, adesivi e resine diversi da quelli di cui alla voce 20 01 27"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 28 - vernici, inchiostri, adesivi e resine diversi da quelli di cui alla voce 20 01 27 "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 32 - medicinali diversi da quelli di cui alla voce 20 01 31"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 32 - medicinali diversi da quelli di cui alla voce 20 01 31 "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 33 -  batterie e accumulatori di cui alle voci 16 06 01, 16 06 02 e 16 06 03 nonché batterie e accumulatori non suddivisi contenenti tali batterie "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 34 - batterie e accumulatori diversi da quelli di cui alla voce 20 01 33 "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 35 -  apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alla voce 20 01 21 e 20 01 23, contenenti componenti pericolosi"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 36 - apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35 "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 38 - legno, diverso da quello di cui alla voce 20 01 37 "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 40 - metallo "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 02 01 - rifiuti biodegradabili "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 02 03 - altri rifiuti non biodegradabili "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 03 06 - rifiuti della pulizia delle fognature"
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 03 06 - rifiuti della pulizia delle fognature "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 03 07 - rifiuti ingombranti a recupero "
"ALI.FER. S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 03 07 - rifiuti ingombranti a smaltimento "
"AMBIENTE & RICICLO S.R.L.","GALATINA","LECCE","10 13 11 - rifiuti della produzione di materiali compositi a base di cemento, diversi da quelli di cui alle voci 10 13 09 e 10 13 "
"AMBIENTE & RICICLO S.R.L.","GALATINA","LECCE","17 01 01 - cemento "
"AMBIENTE & RICICLO S.R.L.","GALATINA","LECCE","17 01 02 - mattoni "
"AMBIENTE & RICICLO S.R.L.","GALATINA","LECCE","17 01 03 - mattonelle e ceramiche "
"AMBIENTE & RICICLO S.R.L.","GALATINA","LECCE","17 01 07 - miscugli o scorie di cemento, mattoni, mattonelle e ceramiche, diverse da quelle di cui alla voce 17 01 06"
"AMBIENTE & RICICLO S.R.L.","GALATINA","LECCE","17 05 04 - terra e rocce, diverse da quelle di cui alla voce 17 05 03"
"AMBIENTE & RICICLO S.R.L.","GALATINA","LECCE","17 08 02 - materiali da costruzione a base di gesso diversi da quelli di cui alla voce 17 08 01"
"AMBIENTE & RICICLO S.R.L.","GALATINA","LECCE","17 09 04 - rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03"
"AMBIENTE & RICICLO S.R.L.","GALATINA","LECCE","17 09 04 - rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03 "
"AMBIENTE & RICICLO S.R.L.","GALATINA","LECCE","20 03 01 - rifiuti urbani non differenziati"
"AMBIENTE & SISTEMI DI CATALANO MARIA","ADELFIA","BARI","20 03 07 - rifiuti ingombranti a recupero "
"AMBIENTE & SISTEMI DI CATALANO MARIA","ADELFIA","BARI","20 03 07 - rifiuti ingombranti a smaltimento "
"AMBIENTE S.R.L.","FOGGIA","FOGGIA","20 01 23 -  apparecchiature fuori uso contenenti clorofluorocarburi "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","00 00 19 - rifiuto multimateriale biodegradabili"
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","15 01 01 - imballaggi in carta e cartone "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","15 01 02 - imballaggi in plastica "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","15 01 06 - imballaggi in materiali misti "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","15 01 07 - imballaggi in vetro "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","16 01 03 - pneumatici fuori uso"
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","16 01 07 -  filtri dell'olio "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","17 01 07 - miscugli o scorie di cemento, mattoni, mattonelle e ceramiche, diverse da quelle di cui alla voce 17 01 06 "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 01 01 - carta e cartone "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 01 08 - rifiuti biodegradabili di cucine e mense"
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 01 08 - rifiuti biodegradabili di cucine e mense "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 01 08 - rifiuti biodegradabili di cucine e mense  "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 01 23 -  apparecchiature fuori uso contenenti clorofluorocarburi "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 01 32 - medicinali diversi da quelli di cui alla voce 20 01 31"
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 01 34 - batterie e accumulatori diversi da quelli di cui alla voce 20 01 33"
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 01 35 -  apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alla voce 20 01 21 e 20 01 23, contenenti componenti pericolosi"
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 01 38 - legno, diverso da quello di cui alla voce 20 01 37 "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 01 40 - metallo "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 02 01 - rifiuti biodegradabili"
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 02 01 - rifiuti biodegradabili "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 02 03 - altri rifiuti non biodegradabili"
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 02 03 - altri rifiuti non biodegradabili "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 03 01 - rifiuti urbani non differenziati"
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 03 01 - rifiuti urbani non differenziati "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 03 01 - rifiuti urbani non differenziati  "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 03 03 - residui della pulizia stradale"
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 03 03 - residui della pulizia stradale   "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 03 03 - residui della pulizia stradale  se avviati a recupero"
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 03 07 - rifiuti ingombranti a recupero "
"AMBIENTE & SVILUPPO SOC. CONS. A R.L. C.DA MASSERIA","CAVALLINO","LECCE","20 03 07 - rifiuti ingombranti a smaltimento "
"AMBIENTE & TECNOLOGIE/RECUPERI PUGLIESI S.R.L.","BITONTO","BARI","15 01 01 - imballaggi in carta e cartone "
"AMBIENTE & TECNOLOGIE/RECUPERI PUGLIESI S.R.L.","BITONTO","BARI","20 01 23 -  apparecchiature fuori uso contenenti clorofluorocarburi "
"AMBIENTE & TECNOLOGIE S.R.L.","BITONTO","BARI","08 01 11 -  pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose"
"AMBIENTE & TECNOLOGIE S.R.L.","BITONTO","BARI","08 01 11 -  pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose "
